news_headline,news_article,news_category,full_text,clean_text
No one can be stopped from using my pic: Scarlett on fake porn clip,"Talking about her fake pornographic video that racked up over 1.5 million views, actress Scarlett Johansson has said, ""Nothing can stop someone from cutting and pasting my image or anyone else's onto a different body."" ""This doesn't affect me...people assume it's not actually me in a porno, however demeaning it is,"" she said. ""Fighting deepfake porn is fruitless,"" she added. ",technology,"No one can be stopped from using my pic: Scarlett on fake porn clip. Talking about her fake pornographic video that racked up over 1.5 million views, actress Scarlett Johansson has said, ""Nothing can stop someone from cutting and pasting my image or anyone else's onto a different body."" ""This doesn't affect me...people assume it's not actually me in a porno, however demeaning it is,"" she said. ""Fighting deepfake porn is fruitless,"" she added. ",no one stopped using pic scarlett fake porn clip talking fake pornographic video racked million views actress scarlett johansson said nothing stop someone cutting pasting image anyone elses onto different body not affect people assume not actually porno however demeaning said fighting deepfake porn fruitless added
iPhone XS Max explodes in pocket of a man's pants in US: Report,"A US man named Josh Hillard has claimed his three-week-old iPhone XS Max smartphone exploded after heating up in the back pocket of his pants on December 12, burning his skin. ""A person put the fire out with a fire extinguisher because he heard me yelling,"" Josh said. He added Apple inspected his phone and offered him a new one.",technology,"iPhone XS Max explodes in pocket of a man's pants in US: Report. A US man named Josh Hillard has claimed his three-week-old iPhone XS Max smartphone exploded after heating up in the back pocket of his pants on December 12, burning his skin. ""A person put the fire out with a fire extinguisher because he heard me yelling,"" Josh said. He added Apple inspected his phone and offered him a new one.",iphone xs max explodes pocket mans pants us report us man named josh hillard claimed threeweekold iphone xs max smartphone exploded heating back pocket pants december burning skin person put fire fire extinguisher heard yelling josh said added apple inspected phone offered new one
Bill Gates calculated slices before cutting our wedding cake: Wife,"Microsoft Co-founder Bill Gates calculated the number of slices that can serve the guests before cutting his wedding cake, his wife Melinda Gates revealed on Tuesday. ""We told you it was time to cut the cake...You thought that meant you needed to cut a slice for everyone,"" Melinda said. The couple completed 25 years of marriage on January 1, 2019. ",technology,"Bill Gates calculated slices before cutting our wedding cake: Wife. Microsoft Co-founder Bill Gates calculated the number of slices that can serve the guests before cutting his wedding cake, his wife Melinda Gates revealed on Tuesday. ""We told you it was time to cut the cake...You thought that meant you needed to cut a slice for everyone,"" Melinda said. The couple completed 25 years of marriage on January 1, 2019. ",bill gates calculated slices cutting wedding cake wife microsoft cofounder bill gates calculated number slices serve guests cutting wedding cake wife melinda gates revealed tuesday told time cut cake thought meant needed cut slice everyone melinda said couple completed years marriage january
My 7-yr-old stepson allowed 1.5 hrs of screen time a week: Snap CEO,"The 28-year-old billionaire Co-founder and CEO of Snapchat's parent company Snap, Evan Spiegel said he allows his 7-year-old stepson Flynn 1.5 hours of screen time (time spent on tablets, smartphones) a week. ""My parents enforced a no-TV policy until I was almost a teenager,"" Spiegel added. He married supermodel Miranda Kerr in 2017 after her divorce from actor Orlando Bloom.",technology,"My 7-yr-old stepson allowed 1.5 hrs of screen time a week: Snap CEO. The 28-year-old billionaire Co-founder and CEO of Snapchat's parent company Snap, Evan Spiegel said he allows his 7-year-old stepson Flynn 1.5 hours of screen time (time spent on tablets, smartphones) a week. ""My parents enforced a no-TV policy until I was almost a teenager,"" Spiegel added. He married supermodel Miranda Kerr in 2017 after her divorce from actor Orlando Bloom.",yrold stepson allowed hrs screen time week snap ceo yearold billionaire cofounder ceo snapchats parent company snap evan spiegel said allows yearold stepson flynn hours screen time time spent tablets smartphones week parents enforced notv policy almost teenager spiegel added married supermodel miranda kerr divorce actor orlando bloom
"Never made New Year's resolution, making one for 2019: Bill Gates","Microsoft Co-founder and world's second richest person Bill Gates said he never made a New Year's resolution but he will be making a resolution for 2019. Gates said he will learn about two areas where technology can improve the human life. He described the areas as - balance between privacy and innovation, and use of technology in education.",technology,"Never made New Year's resolution, making one for 2019: Bill Gates. Microsoft Co-founder and world's second richest person Bill Gates said he never made a New Year's resolution but he will be making a resolution for 2019. Gates said he will learn about two areas where technology can improve the human life. He described the areas as - balance between privacy and innovation, and use of technology in education.",never made new years resolution making one bill gates microsoft cofounder worlds second richest person bill gates said never made new years resolution making resolution gates said learn two areas technology improve human life described areas balance privacy innovation use technology education
Early internet pioneer Lawrence Roberts passes away aged 81,"Early internet pioneer Lawrence Roberts passed away on December 26 at the age of 81, reportedly due to a heart attack. Roberts had led the designing of the internet's precursor Advanced Research Projects Agency Network (ARPAnet) in the late 1960s. After leaving ARPA in 1973, he helped commercialise packet switching technology through his company Telenet.",technology,"Early internet pioneer Lawrence Roberts passes away aged 81. Early internet pioneer Lawrence Roberts passed away on December 26 at the age of 81, reportedly due to a heart attack. Roberts had led the designing of the internet's precursor Advanced Research Projects Agency Network (ARPAnet) in the late 1960s. After leaving ARPA in 1973, he helped commercialise packet switching technology through his company Telenet.",early internet pioneer lawrence roberts passes away aged early internet pioneer lawrence roberts passed away december age reportedly due heart attack roberts led designing internets precursor advanced research projects agency network arpanet late leaving arpa helped commercialise packet switching technology company telenet
Apply FDI norms on domestic online firms too: Traders' body,Traders' body CAIT said the Foreign Direct Investment (FDI) norms for e-commerce companies should be implemented on domestic online players also to discourage unethical practices. CAIT also urged the government to immediately release the proposed policy for the sector. The government recently barred online retailers from selling products of companies in which they have a stake.,technology,Apply FDI norms on domestic online firms too: Traders' body. Traders' body CAIT said the Foreign Direct Investment (FDI) norms for e-commerce companies should be implemented on domestic online players also to discourage unethical practices. CAIT also urged the government to immediately release the proposed policy for the sector. The government recently barred online retailers from selling products of companies in which they have a stake.,apply fdi norms domestic online firms traders body traders body cait said foreign direct investment fdi norms ecommerce companies implemented domestic online players also discourage unethical practices cait also urged government immediately release proposed policy sector government recently barred online retailers selling products companies stake
Waymo self-driving vehicles being vandalised in US: Report,"Google spinoff Waymo-owned self-driving vehicles have reportedly been vandalised by people using knives and rocks in US' Arizona. Over 20 attacks have been levelled against the company's driverless vehicles since 2017 when it first began testing in the state, the report added. Waymo said it's receiving support from Arizona Chamber of Commerce and Industry to tackle the issue.",technology,"Waymo self-driving vehicles being vandalised in US: Report. Google spinoff Waymo-owned self-driving vehicles have reportedly been vandalised by people using knives and rocks in US' Arizona. Over 20 attacks have been levelled against the company's driverless vehicles since 2017 when it first began testing in the state, the report added. Waymo said it's receiving support from Arizona Chamber of Commerce and Industry to tackle the issue.",waymo selfdriving vehicles vandalised us report google spinoff waymoowned selfdriving vehicles reportedly vandalised people using knives rocks us arizona attacks levelled companys driverless vehicles since first began testing state report added waymo said receiving support arizona chamber commerce industry tackle issue
Centre planning shutdown of sites over fake news: Reports,The Indian government is reportedly planning amendments to the Information Technology (IT) Act to shut down apps and websites which fail to control fake news and child pornography. The central government had initiated amendments to the act in August. Section 69A of the IT Act currently allows the government to block public access to the platforms over such content violations.,technology,Centre planning shutdown of sites over fake news: Reports. The Indian government is reportedly planning amendments to the Information Technology (IT) Act to shut down apps and websites which fail to control fake news and child pornography. The central government had initiated amendments to the act in August. Section 69A of the IT Act currently allows the government to block public access to the platforms over such content violations.,centre planning shutdown sites fake news reports indian government reportedly planning amendments information technology act shut apps websites fail control fake news child pornography central government initiated amendments act august section act currently allows government block public access platforms content violations
Google may charge Chinese phone makers for Android apps in Q3,"Google has revealed plans to charge Chinese smartphone manufacturers like Huawei, ZTE, Xiaomi among ""many"" others for Android apps in the third quarter of 2019. This comes after Google in July 2018 faced a $5-billion fine by EU for “illegally tying” the Chrome and search apps to Android. Google has reportedly never charged for Android and its apps before.",technology,"Google may charge Chinese phone makers for Android apps in Q3. Google has revealed plans to charge Chinese smartphone manufacturers like Huawei, ZTE, Xiaomi among ""many"" others for Android apps in the third quarter of 2019. This comes after Google in July 2018 faced a $5-billion fine by EU for “illegally tying” the Chrome and search apps to Android. Google has reportedly never charged for Android and its apps before.",google may charge chinese phone makers android apps q google revealed plans charge chinese smartphone manufacturers like huawei zte xiaomi among many others android apps third quarter comes google july faced billion fine eu illegally tying chrome search apps android google reportedly never charged android apps
